경기날짜,팀1 이름,팀2 이름,팀1 점수,팀2 점수,팀1 투수,팀2 투수
20120525,LG,KIA,2,5,리즈,김진우
20120525,한화,넥센,5,4,바티스타,강윤구
20120526,SK,삼성,4,3,마리오,권오준
20120526,롯데,두산,6,1,사도스키,니퍼트
20120526,LG,KIA,5,6,유원상,박지훈
20120526,한화,넥센,3,1,안승민,이보근
20120527,SK,삼성,4,2,엄정욱,차우찬
20120527,롯데,두산,7,1,진명호,김선우
20120527,LG,KIA,3,7,이승우,서재응
20120527,한화,넥센,4,3,양훈,김영민
20120529,삼성,한화,10,2,고든,박찬호
20120529,SK,넥센,2,3,정우람,이보근
20120529,LG,롯데,5,3,정재복,고원준
20120529,KIA,두산,1,4,윤석민,이용찬
20120530,삼성,한화,3,0,장원삼,김혁민
20120530,SK,넥센,7,3,이재영,손승락
20120530,LG,롯데,2,3,이상열,김사율
20120530,KIA,두산,2,4,앤서니,김승회
20120531,삼성,한화,3,2,차우찬,바티스타
20120531,SK,넥센,5,9,제춘모,밴헤켄
20120531,LG,롯데,3,1,유원상,송승준
20120531,KIA,두산,4,2,김진우,정재훈
20120601,넥센,롯데,3,7,김병현,이승호
20120601,두산,삼성,2,1,니퍼트,윤성환
20120601,KIA,SK,0,1,소사,마리오
20120601,한화,LG,9,2,유창식,임정우
20120602,넥센,롯데,0,8,김영민,유먼
20120602,두산,삼성,8,12,노경은,심창민
20120602,KIA,SK,0,1,서재응,김광현
20120602,한화,LG,5,8,양훈,이동현
20120603,넥센,롯데,4,3,나이트,고원준
20120603,두산,삼성,4,0,이용찬,고든
20120603,KIA,SK,11,2,윤석민,윤희상
20120603,한화,LG,7,7,,
20120605,삼성,KIA,6,2,장원삼,앤서니
20120605,SK,두산,7,3,로페즈,김승회
20120605,롯데,한화,2,8,이용훈,김혁민
20120605,LG,넥센,2,0,주키치,오재영
20120606,SK,두산,1,2,엄정욱,프록터
20120606,롯데,한화,2,3,송승준,송창식
20120606,삼성,KIA,12,3,배영수,소사
20120606,LG,넥센,3,5,류택현,이정훈
20120607,삼성,KIA,4,5,심창민,진해수
20120607,SK,두산,2,1,이재영,니퍼트
20120607,롯데,한화,9,7,이명우,안승민
20120607,LG,넥센,4,3,유원상,오재영
20120608,삼성,SK,1,5,정현욱,김광현
20120609,넥센,한화,4,3,이정훈,안승민
20120609,삼성,SK,5,4,오승환,정우람
20120609,두산,LG,2,6,이용찬,김광삼
20120609,KIA,롯데,4,3,앤서니,김사율
20120610,넥센,한화,1,8,강윤구,박찬호
20120610,삼성,SK,3,11,장원삼,이재영
20120610,두산,LG,4,14,김선우,주키치
20120610,KIA,롯데,3,6,윤석민,사도스키
20120612,SK,LG,8,5,박정배,유원상
20120612,두산,롯데,3,4,프록터,김수완
20120612,KIA,넥센,0,13,소사,밴헤켄
20120612,한화,삼성,3,9,김혁민,배영수
20120613,SK,LG,6,10,박정배,이승우
20120613,두산,롯데,7,1,니퍼트,최대성
20120613,KIA,넥센,5,6,박지훈,손승락
20120613,한화,삼성,1,7,유창식,탈보트
20120614,SK,LG,2,0,김광현,최성훈
20120614,두산,롯데,8,7,변진수,김사율
20120614,KIA,넥센,9,6,앤서니,김병현
20120614,한화,삼성,1,12,송창식,고든
20120615,삼성,두산,1,4,차우찬,이용찬
20120615,롯데,넥센,2,2,,
20120615,LG,KIA,3,3,,
20120615,한화,SK,2,4,양훈,최영필
20120616,삼성,두산,8,6,장원삼,김선우
20120616,롯데,넥센,5,4,이명우,김수경
20120616,LG,KIA,5,1,우규민,양현종
20120616,한화,SK,1,3,박찬호,부시
20120617,삼성,두산,2,8,배영수,노경은
20120617,롯데,넥센,3,4,이승호,한현희
20120617,LG,KIA,0,6,리즈,소사
20120617,한화,SK,5,2,김혁민,마리오
20120619,넥센,두산,3,4,이정훈,니퍼트
20120619,롯데,SK,5,1,이용훈,신승현
20120619,LG,한화,1,3,주키치,유창식
20120619,KIA,삼성,1,7,앤서니,탈보트
20120620,넥센,두산,3,2,김병현,김승회
20120620,롯데,SK,1,3,이상화,김광현
20120620,LG,한화,1,4,이승우,송창식
20120620,KIA,삼성,0,0,,
20120621,넥센,두산,0,3,나이트,이용찬
20120621,롯데,SK,7,2,유먼,윤희상
20120621,LG,한화,11,2,김광삼,양훈
20120621,KIA,삼성,2,7,김진우,차우찬
20120622,삼성,넥센,1,0,장원삼,한현희
20120622,SK,KIA,6,4,부시,한기주
20120622,두산,한화,4,5,프록터,정민혁
20120622,롯데,LG,6,5,김성배,김선규
20120623,삼성,넥센,8,5,배영수,밴헤켄
20120623,SK,KIA,7,9,임경완,소사
20120623,두산,한화,0,6,노경은,김혁민
20120623,롯데,LG,6,4,강영식,임찬규
20120624,삼성,넥센,5,6,정현욱,손승락
20120624,SK,KIA,1,2,이재영,박경태
20120624,두산,한화,8,7,변진수,마일영
20120624,롯데,LG,7,1,이용훈,주키치
20120626,SK,삼성,4,8,김광현,고든
20120626,두산,넥센,3,13,김승회,김병현
20120626,KIA,LG,10,4,서재응,최성훈
20120626,한화,롯데,0,3,유창식,유먼
20120627,SK,삼성,6,1,윤희상,차우찬
20120627,두산,넥센,1,4,이용찬,나이트
20120627,KIA,LG,6,4,윤석민,김광삼
20120627,한화,롯데,2,9,양훈,고원준
20120628,SK,삼성,0,6,부시,장원삼
20120628,두산,넥센,6,4,임태훈,이정훈
20120628,KIA,LG,13,8,김진우,우규민
20120628,한화,롯데,2,5,송창식,사도스키
20120629,넥센,삼성,1,5,한현희,배영수
20120629,롯데,두산,1,6,송승준,노경은
20120629,KIA,한화,11,2,소사,안승민
20120630,롯데,두산,1,5,이용훈,니퍼트
20120630,LG,SK,8,1,주키치,박정배
20120701,넥센,삼성,1,3,김영민,탈보트
20120701,롯데,두산,2,7,유먼,고창성
20120701,LG,SK,5,2,최성훈,제춘모
20120701,KIA,한화,2,1,앤서니,류현진
20120703,삼성,LG,9,4,권혁,리즈
20120703,SK,롯데,4,6,윤희상,고원준
20120703,두산,KIA,5,4,홍상삼,박경태
20120703,한화,넥센,2,4,유창식,나이트
20120704,삼성,LG,4,1,차우찬,김광삼
20120704,SK,롯데,3,5,부시,사도스키
20120704,두산,KIA,0,1,김선우,윤석민
20120704,한화,넥센,5,10,양훈,밴헤켄
20120707,삼성,롯데,0,7,배영수,유먼
20120707,SK,한화,2,4,이재영,박찬호
20120707,두산,LG,3,2,프록터,우규민
20120707,KIA,넥센,2,9,소사,김영민
20120708,삼성,롯데,7,2,탈보트,송승준
20120708,SK,한화,0,5,윤희상,류현진
20120708,두산,LG,9,3,노경은,리즈
20120708,KIA,넥센,2,1,유동훈,이정훈
20120710,LG,삼성,2,3,김광삼,장원삼
20120710,한화,두산,3,4,박정진,변진수
20120711,넥센,SK,7,2,밴헤켄,부시
20120711,한화,두산,8,4,유창식,김선우
20120712,넥센,SK,2,10,김병현,엄정욱
20120712,롯데,KIA,1,5,사도스키,소사
20120712,LG,삼성,5,6,이상열,권혁
20120712,한화,두산,2,9,션헨,김승회
20120713,넥센,LG,10,2,김영민,주키치
20120713,두산,SK,0,3,니퍼트,박정배
20120713,한화,롯데,1,1,,
20120714,두산,SK,7,8,노경은,윤희상
20120715,KIA,삼성,8,11,윤석민,심창민
20120717,SK,LG,1,3,부시,김광삼
20120717,두산,KIA,4,2,김선우,서재응
20120717,롯데,넥센,3,6,김성배,나이트
20120718,삼성,한화,11,1,장원삼,류현진
20120718,SK,LG,2,6,송은범,리즈
20120718,두산,KIA,4,7,니퍼트,소사
20120718,롯데,넥센,5,0,유먼,밴헤켄
20120719,삼성,한화,6,5,오승환,션헨
20120719,SK,LG,8,2,마리오,주키치
20120719,두산,KIA,0,6,이용찬,앤서니
20120719,롯데,넥센,3,5,사도스키,박성훈
20120721,웨스턴,이스턴,2,5,주키치,홍상삼
20120724,넥센,KIA,5,1,밴헤켄,서재응
20120724,SK,삼성,7,6,최영필,정현욱
20120724,롯데,한화,3,4,유먼,류현진
20120724,LG,두산,11,13,리즈,김창훈
20120725,넥센,KIA,1,3,나이트,소사
20120725,SK,삼성,6,9,마리오,차우찬
20120725,롯데,한화,1,10,송승준,김혁민
20120725,LG,두산,3,7,김광삼,김선우
20120726,넥센,KIA,1,9,김병현,앤서니
20120726,SK,삼성,1,8,윤희상,윤성환
20120726,롯데,한화,9,2,사도스키,정재원
20120726,LG,두산,3,1,신재웅,니퍼트
20120727,삼성,넥센,5,4,장원삼,김영민
20120727,롯데,두산,1,2,이명우,홍상삼
20120727,LG,SK,6,1,주키치,김광현
20120727,한화,KIA,4,1,박정진,박경태
20120728,삼성,넥센,6,1,고든,장효훈
20120728,롯데,두산,0,2,고원준,노경은
20120728,LG,SK,0,1,이동현,박희수
20120728,한화,KIA,3,1,유창식,윤석민
20120729,삼성,넥센,4,3,탈보트,밴헤켄
20120729,롯데,두산,4,2,유먼,김창훈
20120729,LG,SK,5,5,,
20120729,한화,KIA,7,1,류현진,서재응
20120731,넥센,SK,7,5,박성훈,박희수
20120731,두산,삼성,2,1,고창성,정현욱
20120731,KIA,롯데,4,5,박지훈,이승호
20120731,한화,LG,3,5,박정진,유원상
20120801,넥센,SK,4,11,김병현,윤희상
20120801,두산,삼성,9,1,니퍼트,차우찬
20120801,KIA,롯데,13,4,앤서니,사도스키
20120801,한화,LG,5,2,박찬호,신재웅
20120802,넥센,SK,4,8,한현희,김광현
20120802,두산,삼성,3,0,이용찬,장원삼
20120802,KIA,롯데,4,3,김진우,이용훈
20120802,한화,LG,5,0,바티스타,주키치
20120803,삼성,롯데,3,4,정인욱,최대성
20120803,SK,한화,8,9,정우람,양훈
20120803,LG,넥센,8,2,이승우,김영민
20120803,KIA,두산,4,5,최향남,고창성
20120804,삼성,롯데,6,1,탈보트,유먼
20120804,SK,한화,6,1,송은범,류현진
20120804,LG,넥센,1,3,리즈,강윤구
20120804,KIA,두산,7,3,서재응,고창성
20120805,삼성,롯데,0,1,권혁,송승준
20120805,SK,한화,2,1,엄정욱,김혁민
20120805,LG,넥센,3,7,김광삼,나이트
20120805,KIA,두산,6,4,소사,김선우
20120807,넥센,KIA,3,4,이태양,최향남
20120807,삼성,SK,1,2,배영수,박희수
20120807,두산,한화,10,5,니퍼트,박찬호
20120807,롯데,LG,5,6,이정민,유원상
20120808,넥센,KIA,0,2,장효훈,김진우
20120808,삼성,SK,8,5,장원삼,김광현
20120808,두산,한화,3,1,이용찬,바티스타
20120808,롯데,LG,6,5,이용훈,이승우
20120809,넥센,KIA,0,5,김영민,윤석민
20120809,삼성,SK,3,4,권혁,정우람
20120809,두산,한화,8,6,노경은,유창식
20120809,롯데,LG,6,1,유먼,리즈
20120810,SK,두산,7,2,송은범,김승회
20120810,LG,삼성,5,0,신재웅,탈보트
20120810,한화,넥센,4,2,송창식,심수창
20120811,SK,두산,2,5,채병용,김선우
20120811,롯데,KIA,3,1,송승준,소사
20120811,LG,삼성,1,7,김광삼,고든
20120811,한화,넥센,0,4,김혁민,나이트
20120812,롯데,KIA,4,2,최대성,앤서니
20120812,LG,삼성,6,7,주키치,배영수
20120814,SK,롯데,2,5,엄정욱,정대현
20120814,한화,삼성,3,6,박찬호,장원삼
20120815,SK,롯데,3,2,박희수,최대성
20120815,한화,삼성,2,1,송창식,윤성환
20120816,SK,롯데,6,5,박희수,이승호
20120816,두산,넥센,1,7,노경은,밴헤켄
20120816,KIA,LG,3,10,서재응,이동현
20120817,넥센,롯데,2,0,나이트,사도스키
20120817,삼성,두산,2,0,고든,김선우
20120817,LG,한화,3,2,리즈,류현진
20120817,KIA,SK,2,7,소사,부시
20120818,넥센,롯데,4,5,박성훈,김사율
20120818,삼성,두산,3,1,탈보트,니퍼트
20120818,LG,한화,5,0,김광삼,김혁민
20120818,KIA,SK,1,2,앤서니,채병용
20120819,넥센,롯데,1,4,김영민,유먼
20120819,삼성,두산,11,3,배영수,이용찬
20120819,LG,한화,4,5,김선규,박정진
20120819,KIA,SK,0,3,손영민,김광현
20120821,롯데,삼성,5,3,진명호,장원삼
20120821,LG,KIA,8,2,임정우,양현종
20120822,넥센,두산,3,1,박성훈,홍상삼
20120822,LG,KIA,4,5,임찬규,윤석민
20120822,한화,SK,5,6,송창식,이재영
20120823,넥센,두산,2,3,박성훈,홍상삼
20120823,LG,KIA,2,3,봉중근,손영민
20120823,한화,SK,2,5,류현진,부시
20120824,삼성,LG,6,3,고든,김광삼
20120824,SK,넥센,1,2,최영필,이정훈
20120824,두산,롯데,1,0,홍상삼,최대성
20120825,삼성,LG,6,5,정현욱,이동현
20120825,SK,넥센,8,6,김광현,김영민
20120825,두산,롯데,1,2,이용찬,유먼
20120825,KIA,한화,16,4,앤서니,김혁민
20120826,삼성,LG,11,2,배영수,임정우
20120826,SK,넥센,1,3,임경완,한현희
20120826,두산,롯데,2,3,홍상삼,강영식
20120826,KIA,한화,6,0,서재응,박찬호
20120829,넥센,한화,6,7,밴헤켄,윤근영
20120829,삼성,KIA,4,0,윤성환,소사
20120829,롯데,SK,10,1,이정민,부시
20120829,LG,두산,3,0,우규민,노경은
20120831,넥센,삼성,5,3,나이트,장원삼
20120831,LG,롯데,0,0,,
20120831,한화,KIA,3,0,류현진,앤서니
20120901,넥센,삼성,5,10,강윤구,고든
20120901,두산,SK,4,4,,
20120901,LG,롯데,7,3,김광삼,유먼
20120901,한화,KIA,3,2,김혁민,윤석민
20120902,넥센,삼성,3,5,김병현,탈보트
20120902,두산,SK,6,4,프록터,채병용
20120902,LG,롯데,2,7,주키치,사도스키
20120902,KIA,한화,13,2,김진우,박찬호
20120904,LG,삼성,6,3,신재웅,배영수
20120904,KIA,롯데,2,4,손영민,정대현
20120905,SK,KIA,6,3,윤희상,박경태
20120905,두산,한화,5,6,프록터,안승민
20120905,LG,삼성,0,1,리즈,윤성환
20120906,넥센,두산,0,4,밴헤켄,노경은
20120906,SK,KIA,0,2,채병용,서재응
20120906,롯데,한화,0,2,이용훈,류현진
20120907,넥센,두산,3,2,한현희,프록터
20120907,SK,KIA,3,11,김광현,윤석민
20120907,한화,롯데,2,5,김혁민,송승준
20120908,넥센,SK,6,11,이정훈,박정배
20120908,두산,삼성,6,2,홍상삼,안지만
20120908,KIA,LG,4,5,최향남,최성훈
20120908,한화,롯데,0,3,윤근영,유먼
20120909,넥센,SK,1,4,강윤구,송은범
20120909,KIA,LG,3,4,박경태,이상열
20120910,넥센,삼성,4,9,장효훈,탈보트
20120910,KIA,LG,1,7,앤서니,신재웅
20120910,한화,롯데,1,7,정민혁,사도스키
20120911,삼성,한화,2,11,배영수,바티스타
20120911,두산,롯데,4,0,이용찬,이정민
20120912,삼성,한화,2,3,윤성환,류현진
20120912,SK,LG,3,0,윤희상,리즈
20120912,두산,넥센,3,0,노경은,밴헤켄
20120912,롯데,KIA,3,1,최대성,최향남
20120913,두산,넥센,2,4,김선우,나이트
20120914,롯데,KIA,1,10,송승준,김진우
20120914,롯데,KIA,8,8,,
20120914,한화,넥센,8,7,김혁민,심수창
20120915,롯데,삼성,2,3,최대성,안지만
20120915,LG,두산,2,0,주키치,니퍼트
20120915,KIA,SK,5,12,한승혁,박정배
20120915,한화,넥센,1,3,유창식,강윤구
20120916,LG,두산,5,6,신재웅,김승회
20120916,KIA,SK,3,2,앤서니,부시
20120916,한화,넥센,8,2,바티스타,장효훈
20120918,넥센,LG,1,0,밴헤켄,리즈
20120918,SK,롯데,3,1,송은범,최대성
20120918,두산,KIA,2,2,,
20120918,한화,삼성,2,3,류현진,고든
20120919,넥센,LG,8,2,나이트,이승우
20120919,삼성,한화,6,8,차우찬,박정진
20120919,SK,롯데,7,0,윤희상,송승준
20120919,두산,KIA,6,0,노경은,윤석민
20120920,삼성,KIA,5,0,배영수,김진우
20120920,롯데,넥센,1,3,유먼,김병현
20120920,한화,LG,3,1,유창식,주키치
20120921,넥센,한화,4,5,심수창,윤근영
20120921,삼성,KIA,9,2,윤성환,소사
20120921,롯데,LG,4,6,사도스키,최성훈
20120922,SK,두산,5,1,채병용,김선우
20120922,롯데,삼성,1,6,진명호,장원삼
20120922,KIA,넥센,4,5,앤서니,김상수
20120923,SK,두산,3,1,송은범,니퍼트
20120923,LG,롯데,1,3,최성훈,최대성
20120923,KIA,넥센,7,0,서재응,밴헤켄
20120924,롯데,삼성,1,2,김사율,정현욱
20120924,LG,SK,5,3,리즈,윤희상
20120924,한화,두산,1,2,바티스타,김승회
20120925,LG,SK,4,7,이승우,김광현
20120925,KIA,삼성,5,1,김진우,탈보트
20120925,한화,두산,3,1,류현진,이용찬
20120926,SK,넥센,7,2,마리오,나이트
20120926,KIA,삼성,3,0,윤석민,배영수
20120926,한화,두산,0,5,유창식,노경은
20120927,넥센,LG,0,3,김병현,임찬규
20120927,삼성,롯데,6,2,윤성환,사도스키
20120927,한화,SK,1,4,윤근영,채병용
20120928,넥센,LG,11,1,밴헤켄,최성훈
20120928,SK,KIA,1,6,송은범,소사
20120928,두산,한화,13,3,변진수,정재원
20120928,롯데,삼성,3,6,고원준,장원삼
20120929,넥센,한화,4,1,강윤구,바티스타
20120929,SK,KIA,8,1,윤희상,앤서니
20120929,두산,LG,3,9,이혜천,신재웅
20120930,삼성,넥센,9,5,차우찬,김영민
20120930,두산,LG,6,5,프록터,이상열
20120930,롯데,KIA,0,1,김성배,서재응
20121001,삼성,LG,9,3,차우찬,이희성
20121001,SK,한화,4,1,마리오,유창식
20121001,두산,넥센,0,5,김승회,나이트
20121001,롯데,KIA,0,10,이정민,김진우
20121002,삼성,LG,2,0,배영수,임찬규
20121002,SK,한화,4,5,엄정욱,안승민
20121002,두산,넥센,3,1,노경은,김병현
20121002,롯데,KIA,10,2,최대성,윤석민
20121003,SK,LG,2,3,김광현,우규민
20121003,두산,삼성,1,3,이용찬,윤성환
20121003,KIA,한화,5,4,박지훈,박찬호
20121004,넥센,한화,1,1,,
20121004,SK,삼성,2,4,박정배,장원삼
20121005,넥센,두산,2,4,강윤구,김선우
20121005,삼성,KIA,0,5,김기태,소사
20121005,롯데,SK,8,3,김성배,송은범
20121006,삼성,KIA,4,3,정인욱,서재응
20121006,롯데,SK,1,6,이승호,박희수
20121006,LG,두산,1,0,리즈,정대현
20121008,롯데,두산,8,5,김사율,김승회
20121009,롯데,두산,2,1,강영식,홍상삼
20121011,두산,롯데,7,2,변진수,사도스키
20121012,두산,롯데,3,4,홍상삼,정대현
20121016,롯데,SK,1,2,유먼,김광현
20121017,롯데,SK,5,4,김성배,정우람
20121019,SK,롯데,1,4,송은범,고원준
20121020,SK,롯데,2,1,마리오,이정민
20121022,롯데,SK,3,6,송승준,채병용
20121024,SK,삼성,1,3,윤희상,윤성환
20121025,SK,삼성,3,8,고효준,차우찬
20121028,삼성,SK,8,12,안지만,송은범
20121029,삼성,SK,1,4,김광현,정인욱
20121031,SK,삼성,1,2,윤희상,차우찬
20121101,삼성,SK,7,0,장원삼,마리오
20130309,넥센,NC,6,1,밴헤켄,아담
20130309,SK,롯데,1,2,채병용,김성배
20130309,LG,삼성,4,4,,
20130309,한화,KIA,3,13,바티스타,양현종
20130310,넥센,NC,4,7,김상수,이형범
20130310,SK,롯데,6,3,최영필,이정민
20130310,LG,삼성,9,6,한희,김현우
20130310,한화,KIA,1,4,이브랜드,소사
20130312,넥센,롯데,4,2,이보근,이명우
20130312,SK,KIA,1,6,레이예스,임준섭
20130312,두산,삼성,3,1,이혜천,권혁
20130312,LG,NC,2,4,임찬규,이재학
20130313,LG,NC,4,0,이동현,이민호
20130314,삼성,롯데,5,3,로드리게스,유먼
20130314,NC,두산,0,1,노성호,유희관
20130314,LG,SK,3,4,이동현,이재영
20130314,한화,넥센,3,2,김광수,조상우
20130315,삼성,롯데,0,0,,
20130315,NC,두산,5,8,이민호,김상현
20130315,LG,SK,3,2,신정락,민경수
20130315,한화,넥센,4,6,유창식,김영민
20130316,넥센,삼성,2,7,이보근,이동걸
20130316,두산,KIA,2,3,홍상삼,박지훈
20130316,한화,SK,1,8,윤근영,세든
20130317,넥센,삼성,2,2,,
20130317,두산,KIA,7,2,서동환,양현종
20130317,한화,SK,0,2,바티스타,레이예스
20130319,SK,넥센,8,9,김준,손승락
20130319,두산,한화,2,2,,
20130319,LG,롯데,2,0,임찬규,김승회
20130319,KIA,NC,7,5,임준섭,에릭
20130320,SK,넥센,7,1,채병용,강윤구
20130320,두산,한화,10,4,김선우,김혁민
20130320,LG,롯데,2,9,우규민,유먼
20130320,KIA,NC,2,4,박지훈,고창성
20130321,삼성,한화,3,6,차우찬,송창식
20130321,두산,넥센,1,7,노경은,박성훈
20130321,롯데,NC,3,6,김사율,이성민
20130321,KIA,LG,16,3,서재응,신정락
20130322,삼성,한화,3,8,로드리게스,윤근영
20130322,두산,넥센,0,3,김상현,밴헤켄
20130322,롯데,NC,1,2,홍성민,노성호
20130322,KIA,LG,6,1,양현종,김효남
20130323,두산,LG,3,2,정재훈,봉중근
20130323,NC,SK,4,4,,
20130323,롯데,한화,1,2,김승회,정민혁
20130323,KIA,삼성,6,2,진해수,안지만
20130324,두산,LG,2,3,니퍼트,주키치
20130324,NC,SK,2,4,에릭,신승현
20130324,롯데,한화,7,0,옥스프링,조지훈
20130324,KIA,삼성,4,3,최향남,윤성환
20130330,넥센,KIA,9,10,,
20130330,두산,삼성,9,4,,
20130330,LG,SK,7,4,,
20130330,한화,롯데,5,6,,
20130331,넥센,KIA,6,4,김병현,서재응
20130331,두산,삼성,7,3,김상현,윤성환
20130331,LG,SK,4,1,우규민,세든
20130331,한화,롯데,5,6,송창식,김사율
20130402,SK,두산,3,7,채병용,노경은
20130402,롯데,NC,4,0,유먼,이성민
20130402,LG,넥센,1,3,주키치,밴헤켄
20130402,KIA,한화,9,5,양현종,김혁민
20130403,SK,두산,4,1,여건욱,김선우
20130403,롯데,NC,3,2,정대현,김진성
20130403,LG,넥센,14,8,임정우,강윤구
20130403,KIA,한화,12,1,임준섭,유창식
20130404,SK,두산,7,5,레이예스,변진수
20130404,롯데,NC,5,1,송승준,에릭
20130404,LG,넥센,3,4,정현욱,이정훈
20130404,KIA,한화,12,4,소사,바티스타
20130405,넥센,한화,3,2,나이트,이브랜드
20130405,두산,LG,4,6,니퍼트,리즈
20130405,NC,삼성,4,10,노성호,장원삼
20130405,KIA,롯데,9,3,김진우,옥스프링
20130407,넥센,한화,5,3,김병현,김혁민
20130407,두산,LG,5,4,이재우,이상열
20130407,NC,삼성,2,4,아담,배영수
20130407,KIA,롯데,3,1,서재응,유먼
20130409,넥센,SK,0,2,밴헤켄,세든
20130409,두산,KIA,11,4,김상현,박준표
20130409,NC,LG,5,9,찰리,임정우
20130409,한화,삼성,2,8,유창식,윤성환
20130410,넥센,SK,0,9,김영민,레이예스
20130410,두산,KIA,3,4,윤명준,유동훈
20130410,NC,LG,5,7,에릭,리즈
20130410,한화,삼성,0,4,바티스타,차우찬
20130411,넥센,SK,4,3,강윤구,채병용
20130411,두산,KIA,9,0,니퍼트,박경태
20130411,NC,LG,4,1,이재학,신정락
20130411,한화,삼성,3,9,이브랜드,장원삼
20130412,삼성,넥센,0,3,권혁,이정훈
20130412,SK,NC,5,3,윤희상,아담
20130412,롯데,두산,3,3,,
20130412,LG,한화,6,1,주키치,김혁민
20130413,삼성,넥센,15,4,배영수,김병현
20130413,SK,NC,1,4,여건욱,이태양
20130413,롯데,두산,2,7,옥스프링,김상현
20130413,LG,한화,5,1,임찬규,유창식
20130414,삼성,넥센,15,4,윤성환,밴헤켄
20130414,SK,NC,3,4,송은범,송신영
20130414,롯데,두산,6,7,강영식,오현택
20130414,LG,한화,8,0,우규민,김혁민
20130416,넥센,롯데,7,4,박성훈,김승회
20130416,SK,삼성,8,3,레이예스,차우찬
20130416,NC,한화,4,6,에릭,바티스타
20130416,LG,KIA,2,5,리즈,양현종
20130417,넥센,롯데,4,2,마정길,김사율
20130417,SK,삼성,5,11,이재영,오승환
20130417,NC,한화,3,4,이민호,안승민
20130417,LG,KIA,4,9,신정락,소사
20130418,SK,삼성,6,1,윤희상,장원삼
20130418,넥센,롯데,14,4,나이트,옥스프링
20130418,NC,한화,5,8,이승호,유창식
20130418,LG,KIA,13,12,정현욱,박경태
20130419,NC,넥센,0,1,노성호,박성훈
20130419,롯데,삼성,4,3,유먼,로드리게스
20130419,KIA,SK,4,3,김진우,여건욱
20130419,한화,두산,1,15,김경태,니퍼트
20130421,NC,넥센,2,11,찰리,밴헤켄
20130421,롯데,삼성,8,9,이명우,배영수
20130421,KIA,SK,9,0,양현종,세든
20130421,한화,두산,1,0,바티스타,김선우
20130424,삼성,LG,3,2,밴덴헐크,리즈
20130424,SK,롯데,7,8,채병용,이명우
20130424,두산,넥센,1,9,노경은,나이트
20130424,KIA,NC,5,5,,
20130425,삼성,LG,2,1,장원삼,주키치
20130425,SK,롯데,0,6,김광현,옥스프링
20130425,두산,넥센,6,3,오현택,손승락
20130425,KIA,NC,11,4,서재응,아담
20130426,삼성,KIA,6,0,윤성환,김진우
20130426,두산,NC,8,4,이재우,김진성
20130426,롯데,LG,4,5,김성배,봉중근
20130426,한화,SK,1,6,안승민,윤희상
20130427,삼성,KIA,1,5,로드리게스,양현종
20130427,두산,NC,8,5,김선우,이태양
20130427,롯데,LG,2,1,고원준,임찬규
20130427,한화,SK,1,4,바티스타,세든
20130428,삼성,KIA,4,1,안지만,진해수
20130428,두산,NC,3,1,니퍼트,찰리
20130428,롯데,LG,0,4,김승회,신정락
20130428,한화,SK,5,5,,
20130430,넥센,삼성,3,1,나이트,밴덴헐크
20130430,롯데,한화,3,9,송승준,안승민
20130430,LG,NC,1,2,리즈,아담
20130430,KIA,두산,5,3,소사,노경은
20130501,넥센,삼성,8,5,강윤구,장원삼
20130501,롯데,한화,4,3,옥스프링,유창식
20130501,LG,NC,6,7,주키치,이재학
20130501,KIA,두산,8,1,서재응,김상현
20130502,넥센,삼성,4,3,손승락,이우선
20130502,롯데,한화,4,3,유먼,바티스타
20130502,LG,NC,1,8,우규민,이태양
20130502,KIA,두산,4,6,유동훈,변진수
20130503,삼성,롯데,10,3,로드리게스,고원준
20130503,SK,한화,1,5,레이예스,김혁민
20130503,LG,두산,6,3,신재웅,김선우
20130503,KIA,넥센,0,1,양현종,밴헤켄
20130504,삼성,롯데,5,3,배영수,김승회
20130504,SK,한화,4,0,세든,유창식
20130504,LG,두산,2,6,신정락,유희관
20130504,KIA,넥센,8,4,윤석민,박성훈
20130505,삼성,롯데,6,1,밴덴헐크,송승준
20130505,SK,한화,8,5,김준,송창식
20130505,LG,두산,2,5,리즈,변진수
20130505,KIA,넥센,13,9,소사,나이트
20130507,넥센,LG,6,4,강윤구,정현욱
20130507,두산,SK,3,8,이재우,김광현
20130507,롯데,KIA,3,0,옥스프링,서재응
20130507,한화,NC,8,4,황재규,이민호
20130508,넥센,LG,3,1,김영민,우규민
20130508,두산,SK,12,13,오현택,전유수
20130508,롯데,KIA,5,1,유먼,김진우
20130508,한화,NC,6,4,송창식,노성호
20130509,두산,SK,11,2,김선우,레이예스
20130509,한화,NC,3,7,바티스타,이태양
20130510,SK,넥센,6,4,세든,밴헤켄
20130510,NC,두산,3,4,노성호,정재훈
20130510,LG,롯데,4,2,정현욱,이명우
20130510,KIA,삼성,0,3,임준섭,장원삼
20130511,SK,넥센,2,5,윤희상,김병현
20130511,NC,두산,5,6,최금강,오현택
20130511,LG,롯데,3,4,리즈,김수완
20130511,KIA,삼성,1,9,소사,윤성환
20130512,SK,넥센,5,8,백인식,마정길
20130512,NC,두산,17,5,찰리,김상현
20130512,LG,롯데,3,8,신재웅,옥스프링
20130512,KIA,삼성,4,5,송은범,신용운
20130514,삼성,두산,7,3,배영수,이정호
20130514,SK,KIA,1,3,레이예스,김진우
20130514,NC,롯데,2,2,,
20130514,한화,넥센,7,2,김혁민,김영민
